reviewText,True_sentiment,category
"  T!!!  Whether it's the ""single"", 'Tearrdop', with Elizabeth Fraser's ethereal vocals, or the heavy-rock inflected 'Angel' and 'Dissolved Girl', or the epic show-stopper 'Group Four', Massive seems as a group with no limitations  And even rap-haters can appreciate 3-D's low key, almost whispered rhymes on 'Inertia Creeps' and 'Risingson'.  Tihs one is cna't-miss",positive,"{'typos', 'punct'}"
"THE EPITOME OF TRIP-HOP its just one of those cds that you don't grow tired of.with  beatiful singing around every bend,there are only two tracks where you get  an actual sense of rap on it which are risingson and inertia creeps and  both are absolutely amazing as well as the rest of the albumif you're new  to trip-hop or are just curious check this out you won't be  dissapointed-later.",positive,"{'typos', 'punct'}"
 this is  an album not to be missed not only for trip-hop fans but everyone!!!,positive,"{'typos', 'punct'}"
" This CD is marvellous Almost aynthing can de said abou tthis CD - but it really should be all positive ""Teardrop"" and ""Inertia Creeps"" are  nearly enough to make this a must buy in themselves, but really the entire  album is worth listening to There is no point in ravnig about this album's  brilliance, all you need to know is that you should listen repeatedlyt o  this album at the very least",positive,"{'typos', 'punct'}"
,positive,"{'typos', 'punct'}"
" (actually 2 1/2 stars) This album is just what you would expect, I suppose, from the author of Martha My Dear and Why Don't We Do It In The Road!!!McCartney has always been about having a goodt ime, best foot  forward and all that, and I'm sure that the idea at the time was to record  an upbeat, homey-sounding little record with off-the-cuff spontaneity  Well, sink me if that isn't what he did!!! The uncertainty is a bit palpable all over Wild Life;  Mumbo, for example, might have been a scorching rocker if Paulie had been  bothered to write some lyrics and do a couple more takes; Dear Friend is a  conflicted counter-attack on Mr!!! Ono Lennon without a whole lot of  conviction; Paul comes across as hesitant ot really let loose on his  erstwhile bandmatewell, let's just say it lives up to it's  title.I mus tadmit at odd times, usually when in my cups, I'll go around  humming its absurdly catchy tune yLircs well,they're better than the ones  for MubmoI'll let it goa t that OK, I'm being a bit snide, I  know.again, some  second takes might have helped here!!! Thisw as dfeinitely one of Mr Mc's valleys,and the curious buyer  should take this into consideration!!!com didn't provide a track listing for  this rleease)I've always hada  soft spot for his covert f-you to his  critics Mary Had A Little Lamb, and its B-side Little Woman Love is a  rollicking number that would have improved Wild Life considerably",negative,"{'typos', 'punct'}"
"some of you dunces are on crack Okay some of you dunces, who said ""duhhrrr his tone is awful"" are total idiots, on this ablum, his guitar tone was probably his best, blended in well with the orchestra  If you like malmsteen you need to get this album don't get the US release, get the import and his attack album, because i'm sure you have his others!!!",positive,"{'typos', 'punct'}"
"Simply Amazing The first time I saw the name ""Concerto"" I was puzzled by what Malmsteen had done this time!!! This album was simply amazing, first off it is purely instrumental so don't expect any vocals from this one Imo I think thats good because I buy Malmsteen's albums purely just to hear what he plays!!! It starts off with a great beginning showing off what he has ocmposed This brilliant young man has composde all this I think that Malmsteen created this because he was finally trying to manifest his true desire I think he should ditch his whole metal type of music adn concentrate on this",positive,"{'typos', 'punct'}"
 Just do it and se ewhat he can do,positive,{'typos'}
" Yngwie is a excellent rocke lectric guitar improviser, but for himself to pose as a classical composer is a insult to classical music As fort he playing itself Yngwie does a decent job, but if we are to compare him to the best classical musicians, this sounds sloppy with no dynamics!!! Yngwie shines best in his early Rising Force albums with Jens Johasnson",negative,"{'typos', 'punct'}"
 Yngwie often says he can play violin solos such as Pagganini's5 th CapriceS!!!,negative,"{'typos', 'punct'}"
" The chords and rhythm sounds always in the same way and solo part too!!! There's nothin gto listen but scales, arpeggio sand more scales and more arpegios, nothing else",negative,"{'typos', 'punct'}"
,positive,"{'typos', 'punct'}"
"At least not all of it is cheesy I purchased this album as a devotee of their early, pre-top 40 albums, and was hoping that this would in some way tell the full story implied by songs on their greatest album, Secret Treatise  Unfortunatley, it doesn't actually tell the whole story, and degenerates into cheesiness typical of '80s-era art rock  The album does provide an inteersting alternative realization of Astronomy (the climactic song on Secret Treaties), which was the one song I did add to my Tiunes library  However, the cheesiest song of all is the last song on the album, also the album's title osng, and should be climactic, not an homage to 80's schlock; it reminds me of the theme song to the John Carpenter film Big Trouble in Little China, which played over the end credits of that film  In that spirit, I'd like to say that if you liked 70's and 80's art rock concpet albums, like the Edgar Allan Poe Tales of Mystery and the Imagination album by the Alan Parsons Project (which is the best example I can give of an album similar to this one), youm ay well like this album  Alternately, if you'd like to explore Blue Oyster Cult truly at their best, obtain and listen to their first three albums (Blue Oyster Cult, Tyranny and Mutation, and Secret Treaties) in order, and then you will get a sense of what I'd hope this album would be.",negative,"{'typos', 'punct'}"
"Thew orst BOC album IMO I kno wlots of folks love this album This is not true on tihs album I'll be seeing them yet again in San Francisco on July 20!!! I guarantee tehy wo'nt be playing any songs from this dog It's all atste anywya To those who love it, enjoy it for me, because I cannot!!!",negative,"{'typos', 'punct'}"
"until the other day when ita rrived from Amazon Thec ame Blue Oyster Cult If I was 13 I could probably like it!!! You can do betetr than this  I had to get out On Your Feet or On Your Knees to upreg the horrid sounds from my skull, but alas I can still taste the vomit in my mouthPaulos!!!",negative,"{'typos', 'punct'}"
 uBt to have all of DC5's best on one CD is great,negative,"{'typos', 'punct'}"
"Too high a pric efor a use ditem I have really enjoyed the music, but I feel that the price ias far too high for a used item.",negative,"{'typos', 'punct'}"
 She LOVES htis cd I only gave it one star because now she won't stop yodeling She eevn had my niece and nephew doing it,negative,"{'typos', 'punct'}"
,positive,{'punct'}
One Stra pure gabrage,negative,{'typos'}
,positive,"{'typos', 'punct'}"
Slim Shady Review Realized I did not have this album in my iTunes library so I dowlnoaded it,positive,"{'typos', 'punct'}"
"hi this is aw onderful edited version myp arents aren't bgi fans of that so its scrambles or completley taking a way that part of the song!!!(  no scramble or soung effect they take away ""die"" but not the word ""$h-t"" but the songs r sitll good, though after a while, yull just get used to itit wait till i was 12 or 13 or so.if they actually TOOK OUT SWEAR WORDS i might've given this cd a 5/5 star o elwl",positive,"{'typos', 'punct'}"
" This is the foul mouth rapper's sophmore realese If you don't count INFINITE, than tihs is his debut album I bough tthe clean one It's really goo dactually Check it out!!!",positive,"{'typos', 'punct'}"
,positive,{'typos'}
,positive,"{'typos', 'punct'}"
"  I really like Shamanic Dream 1 and 2, but this is bit high pitched and hissy!!!",negative,"{'typos', 'punct'}"
"Wonderful traditional hymns, made into schlock I've been searching and searching for a CD of *real* Catholic traditional hymns. Since when does ""traditional"" inlcude music written in the 7'0s Swing and am iss",negative,"{'typos', 'punct'}"
" Everyone here has arleady said it all, if you don't own this CD then there is no excuse for not buying it as soon as possible Check especially the transition Sasha makes midw-ay through CD1 He's spent the first five tracks layering up some beautifully ethereal trance, culminating in Sander's ""My Lexicon""!!!",positive,"{'typos', 'punct'}"
"Annoying but effectvie I'm an SAT tutor and if you can stand to listen to Ms. Mazer's annoying voice and stories of her dating days, you will learn new words and her approach is effective. For some teenagers, Ms. Mazer is too much ot listen to--my son refuses. However, I've listened to all her CD's nad I've learned and remembered new words. I would suggets your borrow one CD from a friend and try it first before you buy it. Ms. Mazer's apporach is more effective than Princeton Reviews Word Smart and Word Smart II if you can tolerate her. If you are a parent who allows your children to awtch the Simpsons or South Park then you will find Ms. Mazar's stories equally crude. But remember, this is targeted to 16 year old students and you probably will like her stories but she syas anything kids do already hear in a public high school",positive,"{'typos', 'punct', 'negation'}"
"Gutter trsah. Well, this would certainly expand your vocabular.y Normally, one would associate the diea of increasing your vocabulary with lifting yourself to a higher level and communication on a level that is a bit more dignified. If want to associate with successful people of the world but you want to know what they are taking abou tthen this is probably a CD for you. Or if you are in high schoo lwith run away hormones and want to impress your friends in the bathroom go for it. In the first few minutes you'll learn about the word abash by association with phrases like ""if your fly is open and people can see your private parts"". After that you'll have other examples to help you learn words where the examples are things like a woman ""positng nude photos of her over weight husband on the internet."" That' sall in the first 5 minutes. The slang that is used in all the examples just further supports the idea that the CD's are for someone who's vocabularly is ""like totlaly cool."" Buy ad ictionary",negative,"{'typos', 'punct', 'negation'}"
Wonderful SAT Prep Tool I wish I had thi swhen I was preparing for my SATs! Renee Mazer's clever poem sare catchy and often hilarious and are so easy to remember. I think what she has created is brilliant and is a opening doors to a whole new technique ofs tudying. Fogret the boring SAT prep classes we have all had to take. Just pick up theseC Ds and watch your score go up! Higlhy recommended,positive,"{'typos', 'punct', 'negation'}"
Amusing for non- Christians A medium witted piece containing jokes about conservaitve politics and the bible. As fun as dnetistry for all who share a relationship with the living Christ. Nno-Christians should walk away with a few laughs and be none the wiser,negative,"{'typos', 'punct', 'negation'}"
Five Stars Dumbfounded by Gid and His hanidwork,positive,"{'typos', 'punct', 'negation'}"
On eStar I had hope for a lot better. Would ont recommend,negative,"{'typos', 'punct', 'negation'}"
great two disc one as theys aid. good msuic... tim reed .,positive,"{'typos', 'punct', 'negation'}"
"One Star Beautiful music but can hardly hear the lyrics,  and that is what I bougth it for",negative,"{'typos', 'punct', 'negation'}"
"I procrastinated and contemplated for so long about purchasing Ledisi's music...and I am truyl sorry that I wasted so much time Her sound is infectious and her voice is lik e""gospel"", pure truth ""In a Sentimental Mood"" is my all time favorite song no matter what form it si in Her voice,m y God I am a fan fo rLIFE",positive,"typos, expand contractions, remove punctuation"
"I used this in the ICU when mys ister was very ill Though she was unconscience, she reemmbers the music played I also loan the CD out to HOSPCIE families",positive,"typos, expand contractions, remove punctuation"
"The Passion of Ayn Rand looks to be an incredibly intense film that was marred solely by a poo rDigital rendering Helen Mirren isa s usual incredible with a dead-on Russian accent no less I would suggest renting it if only to see an incredible actor deliver anotehr incredible performance When Helen Mirren is on the screen, no one else seems tom easure up to the level of realism and believability she brings to her roles For that reason and that reason alone, I suggest you rent this fiml just to see a master artisan at work 2 stras",negative,"typos, expand contractions, remove punctuation"
"In 2005 James Valliant wrote _The Passion of Ayn Rand's Critics_ Up to that point, largely due to this movie and the Branden's two books, I accepted the assertion that sh eexhibited less-than-ideal behavior in her personal life, and possessed a rather difficult personality Fortunately, Mr. Valliatn's book, along with Marry Ann Sures'  _Facets of Ayn Rand_ ([...]) proved that Miss Rand was a far better person than represented by the Branden's books, and it was, in fact, the Brandens who were dishonest and manipulative If you decide to view this omvie, I would like to suggest you first read the above-mentioned books, in order to benefit from the scrupulous research of Mr. Valliant, as well as the personal and daily relationship between the Sures and Miss Rand If this movie was represented as pur efiction it might have some limited entertainment value, however since it portends to represent actual people and events, its distortions and errors earn it my lowest rating",negative,"typos, expand contractions, remove punctuation"
"Ayn Rand wrote some of m yfavorite books: The Fountain Head and Atlas Shrugged Born at the beginning of the 20th Century Russia, in the beautiful cityo f St. Petersburg, Ayn Rand started to read from the early age of six By the age of nine, it is said that she knew she wanted to dedicate her life to writnig and to philosophy Russia fo the times was focused in collectivism, something Ayn Rand despised fAter reading the works of Victor Hugo her character starts to shape She lived through the Kerensky Rveolution and in 1917, through the Bolshevik Revolution From the start, she denounced communism and when the revolutionaries are victorious and start the painstaking process of taking away property, confiscating the pharmacy her father owned, she decides Russia is not the country for her The family undergoes poverty and lack fo food While at school, during ac lass of American History, Ayn develops the ardent desire to become an American citizen The United States becomes her goal because she wants to join a nation of free men and owmen, where the rights of the individual are protected by its constitution The university wehre she was studying philosophy is overtaken by communists, but during her last years of study; she enjoys one great pleasure, watching Western films and plays, and decides to enter the State Institute for Cinema Arts to study screenwriting Fianlly, she is permitted to leave Soviet Russia and to visit the United States Her trip was supposed to last a short time, but she was determnied never to return to Russia New York City, with its skyscrapers, thousand lights, and never ending activity becomes the city that shapes her interpretation of the finest achievements of huamnity For a while, following her acting career, she travels to Hollywood and meets Cecil B. DeMille, who ofefrs this striking young woman, with piercing eyes, a ride to the set of his movie The King of Kings Mr. DeMille gives her an opportunity, her first job in the USA ,as an extra, a script reader She meets actor Frank O'Connor and they strike inetresting conversations that result in a marriage until death did they part She writes The Fountainhead, where she shapes a hero by the name of Howard Roark, an architect, an ideal man that reveals to the world a philosopher that clearyl sees how ""a man ought to be She then moves to rwite Atlas Shrugged, a novel that shares her philosophy through a story, surfacing the concept of objectivism, or how to live on Planet Earth Passion is not our favorite view to yAn Rand The DVD offers an interpretation of her affari to Nathaniel Branden, but to see how she relates to him and to his wife is sad and almost made us feel that she used her superior wit and intellect to shape these relationships into calculated displays of weak characters We have alway sadmired Ayn Rand and her marriage to Frank O'Connnor was all we knew about If all the hypocrisy of this foursome was indeed true, then... as with any hero placed on a pedestal... we fuond that Ayn Rand did compromise, was unfaithful to her Frank, and was in the end... only human Frankly, would have rather skippe dthis film",negative,"typos, expand contractions, remove punctuation"
"When I watched this movie, I expected vivid and gripping presentation fo Ayn Rand, a figure that fascinates me I was stupified to see that it was very inaccurate and portrayed Rand as a person who excommunicated people and made knee-jerk decisions based on nothnig but her own vanity As anyone who has read her personal journals or ""The Passion of Ayn Rand's Critics"" knows, this oculd not be further from the truth It was difficult to watch the smearing of one of the 20'th century's greates tthinkers",negative,"typos, expand contractions, remove punctuation"
"September 11,2 001 was a devastating day for the US But thanks toP aul McCartney, we were soon lifted up The Concert for New York City gathered 9/11 victims, fand and an all-star musical line-up to raise money for hte victims Among thoes performing were Paul McCartney, Mick Jagger, The Who, David Bowie, Elton John and James Taylor These artists played ver ygood sets, but it should have stopped there Jay-Z should not have been nivited, nor should Eric Clapton have It si these mediocre performances that bring down my rating But on the whole thi sis a very good and very helpful concert And the proceeds go ot help the victims So it is a wotrhy buy",positive,"typos, expand contractions, remove punctuation"
"The 2-disc set documenting The Concert for New York City contains what appears to be music from a spectacular variety of acts; all liev and all carefully chosen by the artists to pay tribute to the fire and police corps who helped save lives in the wake of the 9-11 disaster in New York In fact, it is a night of mostly classicr ock for baby boomers I am n oyoungster myself, but David Bowie opening the show with a horrible version of Simon and Garfunkel's America sets the wrong tone for me The inexplicably deleted Macy Gray cover of With a Little Help From My Firends was much more interesting when I saw the show on TV Do not get me wrong - I have got a soft spot for a lot of these acts: James Taylor is always a delight and the response of the crowd upon hearing his soothing voice was sincerely moving, but thta drama does not come through on CD Not JTs' fault The good tracks are few - Jagger&  Richards' Salt of the Earth was a great choice Bon Jovi's Livin' On A Prayer is nice even if it was also included on Tribut eto Heroes The 'to hell with everybody' tone of their toher two tunes almost negates Prayer's impact, though While Jay-Z and the Backstreet Boys sound like they were booked for the wrong benefit, Destiny's Child does Emotion better than the Bee Gees ever did, mostly because they are actually young women instead of aging men trying to sound like yuong women Five for Fighting also holdsi ts own with a lovely piano-voice-cello version of the hit Superman But John Rzeznick of Goo Goo Dolls had no voice to sing Iris, so it was left of the CDi n favor of the band's cover of Tom Petty's American Girl, which does not require as much pure voice Billy Joel was also not in the best vocal form, although his choice of Miami 2017 from his early catalo gwas eerie and bold Melissa Etheridge's live performancew as a technical nightmare that somehow the studio engineers managed to clean up But her two songs only prove what I have always thought about her: she rocks hard, but she is predictable and bornig Warning: TheW ho gets 25 minutes for three songs on this recording Atl east they are in fine form, though, especially Roger Daltrey whose voice seems to have had plenty of rest in recent years Paul McCartney, who planned teh evening, gets the last four songs to show how ragged his voice is these days",negative,"typos, expand contractions, remove punctuation"
"The thing about this CD is how wonderful it is that this concert happened, but how horrible hte reason Humankind at its best, as a result of huamnkind at its worst, is a striking contrast and very uplifting Listening to this CD is a very moving experience, and you have got to pla yit loud and sing along at the top of your lungs The songs are more rleevant now than it could have ever been imagined before September 11th Mick and Keith's ""Salt of the Earth"", The Who is ""We Do not Get Fooled Again"", JT's ""Fire and Rain"", Bowie covering S&G's ""America"", Five for Fighting's  ""Superman"", and of course, Billy Joel's ""Miami 2017"" & ""NY State of Mind"" ;all great songs in their time, and are especially moving in this emotional and powerful CD (Billy Joel and Five for Fightign truly stand out If you are not sure whether to buy thisC D, consider this I (do not like) Bon oJvi But listen to their performance, you will haer a bunch of American boys, pouring their hearts and souls into their music in honor of the FDNY, the City of New York, and their country I admit that it brought a tear to my eye, but I am still not running out to byu ""Slippery When Wet I lovedt he intros by John Cusack and Bill Clinton, Mike Moran's narrative, and Operaman The only hiccupw as including The Backstreet Boys This concert and CD should have been reserved for bands/acts with more integrity thant he boy-band du jour Nick, AJ, Justin andw hatever their names are, do not belong in the pantheon with Clapton, Elton, McCartney, and the other bands listed above The CD is sort of like the big family portrait which includes your sister's loser boyfriend who she dumped 2 weeks after hte picture, leaving you with a perfect picture, except for him, and you cannot crop him out Destiny's Child also do not necessarily belong, but at least they covered a song ""Emotinos"" written by someone more talented than themselves But overall, this is just ntipicking Ge tthis CD You will love it",positive,"typos, expand contractions, remove punctuation"
"I bought this cd for my 6 y/o daughter who has been having trouble sleeping inh er own room She is a light sleeper and has a vivid imagination so she has trouble sleeping whether it be monsters under the bed, mean looking shadows, or ba ddreams We have tried EVERYTHING - ""magic"" bracelets, leaving lights on, nigh tlights, stuffed animals, soft music, changing her room decor, letting the dog sleep in her room, dream catchers, fans, white noise machines, etc and NOTHING worked It has been almost a year since she slept through the night without getting up and either coming into my bed or sleeping on the floor next tom y bed We tried sticker charts, punsihments, reasoning, logic... still, NOTHING worked From the first day that we bought this CD, she hass tayed in her room Smoe nights I hear her wake up and turn it on in the middle of the night but she stays in HER room, in HER bed It has only been a week or so since we bought the CD but I have noticed that she is waking pu less frequently so hopefully she will start to sleep all the way through the night soon The story on the CD is cute and she likes ti a lot It is a little sing-songy but then it is geared towards young hcildren If you are havnig problems like I was then this CD is worth a try",positive,"typos, expand contractions, remove punctuation"
Zzzzzzzz I am sitll awake,negative,"typos, expand contractions, remove punctuation"
"Itw orks I bought this C Dunknowingly that it was spoken I imagined it was some kind of relaxing music that was scientifically rpoved to promote deep sleep As a result, I now read twice the description of the product Im abuot to buy That said,  Idefinitely do not regret having bought this CD Its the first spoken CD that I own, an dit IS effective, it truly IS relaxing Spoken CDs may wokr for some people and may not for others I was never very enthusiast about listening to spoken CDs, now I understand thta they work This CD ocntains 2 tracks The firts is designed for a 25 minute nap, generally after lunch The second one is designed for a full nigth sleep I first listened to the secon dtrack during the night I can tell you that I remember listening the guy speak for 8 minutes or so andt hen I blacked out He hypnotizes yuo for real Then he brainwashes you to kill teh president of Honolulu sI Honolulu a country However, the next day arose an upsetting, then I tried to sleep by listening the sam etrack, and it did not happen For this to work you need to bes tress and anxiety free If you had a bad day, its hard to let aside the things tha tare bothering you Tell you what, if this is the case, do not even attempt to listen Speed Sleep because itw on't work, that simple Important: Do not drink coffee, alcohol or any other stimulant piror to sleeping Taking a warm shwoer can help you relax before hitting the bed Moving on with the other track... After successfully trying out the secon dtrack, I tested the first track designed for a 25 minute nap Turns out it wa squite similar in content as the second track It quicklyk nocked me out as well After 25 minute shave passed, a strenuous sound of a cannon blast awakens you just kiddin No cannon blsats on this CD A relaxing music plays along with the spoken instrutcions, until it fades off at the end of the track The pros: Its a healthy, fast-action drug-free alternatvie to fight off insomnia and itll get you to sleep in no time The strangely curious yet fascinating thing about this CD is that you awake with a fully recovered body and having a positiv emindset Youll have to try it yourself to undersatnd what Im talking about The cons :Consequently, with time and use, you might get tired of the same words being spoken, and you would look elsewhere for more variety All in all ist a good product, you should try it out Nice epxerience",positive,"typos, expand contractions, remove punctuation"
"I received Speed Sleep yesetrday and tried it last night I listened to the 25 minute program ont rack 1 I flel asleep on the couch and woke up only when track 1 ended and track 2 began I put away my CD player adn went to bed I was almost late for work,I  slept so well I usually gte up because I cannot sleep This put em away Track 2 is a longer program for sleeping throught he night If the 25 minute program did this, I anitcipate much better sleep in the future",positive,"typos, expand contractions, remove punctuation"
"I needed a traditional CD of ptariotic songs to teach my Girl Scout troop but they would not listen to this one past the first song It is way to inetnse The huge orchestra and the operatic voices,although truly beautiful, will not appeal to a mass audiecne",negative,"typos, expand contractions, remove punctuation"
"I will start by sayin gwhen I found this CD I was a bit skeptical It had no sound clips, and had mixed reviews, but I decided ot give it a chance, finding that most reviews did compare it to Jekyll & Hyde; the Musical Though it is not as grand as Widlhorn's musical, I would put it in the same category and say that it was very well written It does have it is high and low moments, but overall it tells the story with some great songs and sticks pretty close to the novel by Mary Shelley (though there are smoe differences My personal favorite song from this musical is 'The Coming of the Dawn', being very inspirationla in my opinion, and the moral in the end is well worth the purchase",positive,"typos, expand contractions, remove punctuation"
"I will make this brief as suual Tha Animatrix DVD is what turned me onto Anime, it is also a slight bit disturbing, but you know as well a sI do that us 21st Century Humans need to be disturbed once in a while I always loved the music from the DVD, so decided, why ont get the soundtrack An dI did What I did not expect is that the suondtrack is better than the movie (in musical terms There is only one track on this cd that I do not lik,e and that is saying a lot It is an interesting journey... through a synthetic world, via trance and techno baets Check it out, you wo'nt be disappointed",positive,"typos, expand contractions, remove punctuation"
"I love all of the songs but I would have liked the music that was featured in Beyond and the other shorts, but I am especially glad they put on WHO AM I from Kid's Story because without that song the soundtrack would not have eben complete During the pidgeon slowing down scene in BEYOND there was a beautiful track playing there I do not know if it was Don Davis or if it was a single song but I wantt he score soundtrack now I would have liked a two disc set like they did for Matrix Reloaded but oh well I guess I justh ave to adore the tracks during the movie But ehy, if you want to save yourself some money and get both of these for a good price buy THE COMPLETE DVD AND CD SOUNDTRACK SET available in the DVD section and save some money Enjoy eevrything",positive,"typos, expand contractions, remove punctuation"
 JMac O hmy god hO my god Ohm y god rolf,negative,"typos, expand contractions, remove punctuation"
