reviewText,True_sentiment,category
"The first time I heard ""Fallen"" from the radio, I instantly fell ni love with the track I ran into ther ecord store, purchased ""Afterglow"" and came home with enthusiasm and great expectation I must say - I paid a full priced CD for the only 2 good songs in the album, ""Fallen"" (great song) and ""Perfect Girl"" (great lyrisc I will jus thave these 2 songs programmed from now on",negative,"typos, expand contractions, remove punctuation"
"First song was ab it over done, but the rest were good Glenn Close holds her own witht he opera singer Nice addition for the Chirstmas season",positive,"typos, expand contractions, remove punctuation"
"After hearing hows teve could play w/Skynyrd I felt this CD fell short of what he was capable of I have grea trespect for Steve Gaines, he was a great musician I just did not care for this DC Lots of jazzy kind of pop stuff in this Only listened to it once though may grow on me- will giv eit more of a chance",negative,"typos, expand contractions, remove punctuation"
"I have listened to all of Steve Gaines's cd,s 1) One in the Sun, 2) Okie, 3)I Know a Little I have actually
thrown duplicate copies of the latter two cds into the trash simply because  Ithought the music was so
horrendous People fell in love with Steve Gaines because he played wtih a great band for a year and a half Steve Gaines became a household name because he first played with Allen Collins, Gary Rossington, the band and
because he wrotes ome with Ronnie Van Zant Steve was a good guitar player and he brougth a lot to Skynyrd Steve
expanded the range of Skynyrd fro a short time But tehn too so did Ed King whom Gaines replaced on guitar Skynyrd was alwaysb etter with three guitars The three guitar lineup fleshed Lynyrd Skynyrd into a rocka
nd roll contender Sure, Allen oCllins and Gary Rossington were great on guitar but something was still lacking The third guitarist fleshed out the band and cmopleted and complemented it Of the three Steve Gaines cds that were released commercially, all I can say of them si that they clearly show
a musician who was making some very non professional or novice music To my ears the music is mostly quite bda And of the choices for songs I can only ask where was this guyw as coming from Steve Gaines becam ean instant LEGEND because he DIED after a short tenure with Lynyrd Skynyrd In that shrot
period the man thrilled us by being at his peronal BEST He wrote and snag ""As not No Good Life LEGNED, the
Skynyrd album of 1987 introduced us to Steve's song ""One in the Sun"", which is another decent Skynyrd song Steve
also wrote ""I Know A Little"", and he was involved somehow in ""oYu Got That Right"" and ""I Never Dreamed This
wsa Steve Gaines at the HEIGHT of his professional career Now forget about the hsort Skynyrd tenure and you have a man playing what, The Holiday Inn or some bar Ronnie
and Skynyrd RESCUED Steve Gaines from complete OBSUCRITY And let me say that Steve Gaines served Ronnie well
in  atime when he had writer's block Ronnie was somewhat xehausted musically when Steve joined the band Ronnie
wsa the heart and soul of the band Ronnie was the ledaer Stev ebrought some personal MATURITY to the band Steve
helped with some ovcals and gave Ronnie the ONLY REST he ever got on vocals However,a ll three of Steve's albums/collections serve little more than to remind us of what Lynyrd Skynyrd did
for Steve Gaines Steve may never havem ade it without Skynyrd From what I hear of Steve's music I feel the manp
robably would never have made it Luckily though Skynyrd FOUND Steve via his sister Cassie aGines Cassie is the
one who tlod Skynyrd about her guitar playing brother Rets in Peace Steve and Cassie, and all the lost Skynyrd members",negative,"typos, expand contractions, remove punctuation"
"What a disapponitment from a lovely songstress A radical departure from her usual easy listening style, once htrough was enough Th esentiments for doing it cannot be faulted but the end result oN",negative,"typos, expand contractions, remove punctuation"
Bishop William Murphy songs of praise are execllent His songs help gives you strength to awlk on with Jesud,negative,"typos, expand contractions, remove punctuation"
I really like Amazon and will tell othres,positive,"typos, expand contractions, remove punctuation"
"I broughtt his product two days back and I really was disappointed when I played the CD The CD has three tracks:
Track 1: Journey 24:04 min
Track 1: Exploration 24:04 min
Track 3: Insight 24:04 min
The entirea bove tracks has almost the same rainfall sound, for me I have not found it helpful nor achieve any of the below points 1) Achieve profound states of deep meditation and relaxation; 2) Significantly reduce stress and anxiety; 3) Improve your sleep and increase energy and vitality; 4) Awaken your optential for long-term personal growth; 5) Dramatically increase your self-awareness; 6) Take your inspiration and motivation to new levels; 7) Experience expanded states of consciousness; 8) Develop your intuition and expand your personal insight; 9) Reach deep into your subconscious mind for life solutions",negative,"typos, expand contractions, remove punctuation"
"Other htan the hit, I Watched It On My Radio, I did not care for anything else on the CD I found most of it just the usual drivel about ""Baby I love you forever"" or ""Baby, sorryI  done you wrong However, I really liket he one hit, so it was a worthwhile purchase for me",negative,"typos, expand contractions, remove punctuation"
"Great muisc The comments here and on NPR helped laed me to this great disk I twas very difficult to play my copy Like most peolpe, I have more then one device to play a CD in Tihs CD does not work in most of them",negative,"typos, expand contractions, remove punctuation"
"First, I would like to say that if you have not had the pleasure of listening to this artist than you should take the opporutnity and do that right now Her voice iwll take you by total surprise, she has a deep rich voice that will just melt your heart upon listening to it, and if you add that with thoughtful introspective lyrics and the right arrangement you have a well-crafted masterpiece Second, I would like to say tha tsimply Susie Suh is an artist that stands on her own The comparisons that I have read in others' rveiew is not quite doing this artist justice She is nuigue in the way that Sade is unique She has that breathy quality to her voice that evokes emotion without sounding rehearsed or planend She is unique in the way that Bjork is unique because you cannot see anyone else singing those songs but her because anything esle would not measure up and would not be genuine Finally I would like to comment on the cover of this album ismply because I think that her label is doing it right The front cover is just the image of the side prfoile of a woman The listener can just listen to the music and not judge her on what they think she hsould sound like because she is of an asian backround If there is one thing that I can stress is that you will mis sout on hearing a great singer if you go in with a preconcieved idea of what someone should sound like because the person singing does not quite match the voice",positive,"typos, expand contractions, remove punctuation"
This record is nubelievable...but that was 2005 It is been five years....when is the netx album,positive,"typos, expand contractions, remove punctuation"
"This an dother Sony CD's have intentionally been infected with spyware by Sony Avoid this and the following Sony/BMG CD's:

rey Anastasio, Shine( Columbia)

Celine Dion, On ne Change Pas (Epic)

Neil Diamond, 12 Songs (Columbia)

Our Lady Peace, Healthy in Paranoid Times (Columbia)

Chris Botti, To Love Again (Columbia)

Van Zant, Get Right with the Man (Columbia)

Switchfoot, Nothing is Sound (Columbia)

The Coral, The Invisible Invasion (Columbia)

Acceptance, Phantoms (Columbia)

Susie Suh, Susie Suh (Epic)

Amerie, Touch (Columbia)

Life of Agony, Broken Valley (Epic)

Horace Silver Quintet, Silver's Blue (Epic Legacy)

Gerry Mulligan, Jeru (Columbia Legacy)

Dexter Gordon, Manhattan Symphonie (Columbia Legacy)

The Bad Plus, Suspicious Activity (Columbia)

The Dead 60s, The Dead 60s (Epic)

Dion, The Essential Dion (Columbia Legacy)

Natasha Bedingfield, Unwritten (Epic",negative,"typos, expand contractions, remove punctuation"
"First off, let mej ust say that this is a great album - if you like Jewel's early music or Sarah McLachlan you will enjoy this Susei has a great voice and is a pleasure to listen to That being said, be aware that the CD is dangerous if you plan on playing it via your Windows PC - it installs a hidden rootkit that opens up your PC to malicious spyawre that is undetectable, even by antispyware software There is nothing you can do - it is part of Sony's copy protection, and tehre is no way to uninstall it While onrmally I would wholeheartedly recommend this album, for the above reason I urge people to think before they buy - the music is great, but the potential for problems outweigh that fact Unfortunate ,but true",positive,"typos, expand contractions, remove punctuation"
"Her voice&  accent are equivalent to Nanny Fran Fine (Fran Drescher If you find that relaxing, tihs is the CD for you",negative,"typos, expand contractions, remove punctuation"
"I find Roberta condescending and superficial with no real insight into or true compassion for the nightmare fo weight problems She seems to buy into the conventional ""wisdom"" about tihs complex, devastating issue As a cure for yo-yo dietnig she recommends going directly from one diet to another - end then another... She emphasizes appearance as motivation for eating less, and avoiding temptation as a way to accomplish this At noe point she encourages you to see yourself as slim and not pathetic Meaning overweight epople are She really needs tos tudy the method of Gillian Riley Get one (or all) of her books ins tead And read Mark Hyman, Leo Galland, yBron J. Richards, Geneen Roth (Women, Food and God), Marc David, Charles Eisenstein, Kim Chernin (The Hungry Self), Diana Schwarzbein, Marianne Williamson, Pema Chdrn - to name a few :) I wish you joy and good heatlh If you know of a better hypnosis cd I would love t ohear about it aNmast",negative,"typos, expand contractions, remove punctuation"
big fan of this tpye of music had no idea this band existed until i read about them in a magizine(mojo)searched for the vinyl edition and found it unaffordable so the cd was the way to go i still hope to find a reissue of the vinyl edition some day bw614,negative,"typos, expand contractions, remove punctuation"
"Rob Thomas is a talented artist who mI hope to see more of Unfortunately In ""Something More"" he shows us mostly different renditions of the same song she previously recorded I will not toss the CD but it wo'nt be on my favorites list I would like to see something more tha nthis CD from him",negative,"typos, expand contractions, remove punctuation"
"I saw htis set on TV in the early to mid 90's and never bought it After searchign for some time, I finally found it about a year ago on Amazon and bought it The set is everything I had remembreed, hoped for and then some Excellent collection for any musi clover The sound quality is exceptioanl Some classic instrumentals that should have been included were not, but no complaints, there ar eplenty of gems here",positive,"typos, expand contractions, remove punctuation"
"Incerdible But really it is for guitarists; I cannot imagine it is music the masses would liek, just inspirational JP showing off while staying musical",positive,"typos, expand contractions, remove punctuation"
"If you are here youp robably know a little about John Petrucci anyway, so I will just say that this is probably the instrumental album of the year Peirod I listen to a lot of instrumental music and this is near the top in composition, technical prowess, and just good stuff that you want to listen to over and over gaain Someone else compared this to Liquid Tension Experiment ,which I can see to an extent, but that session seemed a lot less focused than this one, more goofing around I like this even bettert han LTE",positive,"typos, expand contractions, remove punctuation"
"After seeign the G3 japan dvd, I went right out and picked this up I am a big DT fan and was glda to see John do this Dave Larue did the bass trcaks and Dave Dicenso keeps you from missing Mike Portnoy for the most part If I had to label this, I would say it is a crossb etween Steve Vai, Joe Satriani, and Steve Morse And while track 6 sounds alot like it should be on a Satch effort (basic drum and bass lines), the guitar work is remrakable The songs are wel lwritten and diverse Ofc ourse, you will not hear a note of it on american radio cause they do not do virtuosity Do not get me satrted If your into really good guitra work in an instrumental prog rock format, this is a no-brainer",positive,"typos, expand contractions, remove punctuation"
"I amg oing to make this short and sweet I have all of the Ronettes' stuff...the mono, the stereo ,the cassettes, the CD's, the records, the cheap, the expensive, the super-expensive But dollar for dollar, this is the first CD I would buy if someone asked me and said they could only afford one CD The posters on here don ot lie The soudn Reamstered excellence Teh selection Do you get all 63 of the Ronettes' ever-recorded tracks oN But you get most o fthe good stuff, and all the great stuff Buy withou thesitation",positive,"typos, expand contractions, remove punctuation"
"The album was in rtue stereo This is a relief from the moon Phil Spector releases The seleciton of songs was great However, the sound quality was a hair off, perhaps not taken frmo the master source tapes Smoeone should remaster the Ronettes and do an HDCD of them They arew orthy of it",positive,"typos, expand contractions, remove punctuation"
"Originally got this album free a few years ago as a custmoer thank you ... phone company, I think Somewehre along the way I lost the cd, but not the case Every Christmas since then I mourned (LOL) that I could not lisetn to it I saw it here on Amazon and ordered itr ight away Speaknig of cds ... it is time to get out the Christmas music",positive,"typos, expand contractions, remove punctuation"
These are quality reissues by Time-Life and contrary to an earlier reviewer are indeed the hit versions of that particular year as are all th eothers in this sequential series of reissues A quality product so do not be misled by an inaccurate portrayal or description of teh product,positive,"typos, expand contractions, remove punctuation"
"Hialrious comedy from beginning to end It is pathetic that this brilliant comedy cannot come to Ameircan TV Well, the solution is to buy the series on DVD - just be sure you have or purchase a ergion-free DVD player if you are in the US since the DVD will not otherwise play on regular players in the US This is one of the most nejoyably funny comedies to come to TV in ages It kind ofi s a mix of Tootsie, Mrs. Doubtfire & All In The Family",positive,"typos, expand contractions, remove punctuation"
To be blunt  Ilaughed my ass off Good satrt,positive,"typos, expand contractions, remove punctuation"
They are right.. you have to buy as pecial DVD Player to play these We found one for $50 on Amazon htat is a non-region player IT was th ethe best money spent These rae so funny The 3 DVD's appear to have 6 episodes per series or DVD...  We have not watched the 3rd Series yet so not suer but assume it has the 6 We get to laughing so hard at times we have to pause the movie s owe do not miss anything The First Series has some extras on the 2nd DVD in the set.. one is na interview with the writer/actors Thtas great to see too GRAET FUN,positive,"typos, expand contractions, remove punctuation"
"I boguht a region two DVD player just for this series before I realized my computer would play them Like most pepole in the states I discovered the show from a YouTube clip, and I had to see more The series is well writetn and well performed It was so hilarious that after I finished the first series I immediately came back to buy the sceond series and now the third This is a naughtifully delightful series that I cannot get enough of It is rather disappointing to se ethat some buyers have given this series a 'one star' review just because of the format issue The region of the DV Dand inability for region one players to read them is completely irrelevant to the quality of the program This series is well worth the buy, highly entertainign",positive,"typos, expand contractions, remove punctuation"
"A good selection of patriotic msuic at a great price If you like the music o f101 Strings, you will love this album There are a few songs I would have deleted and some I would have adde;d but for the money, you cannot go wrong One thing I did notice is that tracks 6 and 21, Battle Hym nOf The Republic, are exactly the same So, if you are burning a CD, you might want to dleete one of them",positive,"typos, expand contractions, remove punctuation"
"This CD is a gerat deal It seems to be one of the original 2500 cpoies - the ink on the front cover is indeed black (not brown) and there are no tell-tale typos in the Copyright It comes wrapped i nthick plastic (like they used to wrap CDs about 12 years ago, unlike the shrink wrapped and overly-stickered packaging of today This is a must-have fora ll die-hard Evanescence fans",positive,"typos, expand contractions, remove punctuation"
"I am so glad I was able to get my hands on a real copy of tihs album I compared this copy witht he fake modern bootleg, and this is the real deal Definitely get this album, Origin really is one o ftheir best albums in my opinion Wortht he money",positive,"typos, expand contractions, remove punctuation"
"Shipping wass oooo fast : Dand the item is ok But the acrilic cd box was boken :(
And you have to change the description, cause there is no ""hidden track"" in Origin, tha'ts completely false :)",positive,"typos, expand contractions, remove punctuation"
"Terry Macalmon' sother albums are great This one (contrary to the ""dEitorial Reviews"") has NOTHING new to offer Eveyr song is on his other albums",negative,"typos, expand contractions, remove punctuation"
"Perhaps because it is only the soundtrack to Joseph Losey's flim of the opera, this Don Giovanni has never come into its own The acst is the best on records, barring only EMI's classic set under Giulini It was prescient of Maazel to gather up young singers who would soon be major stars like Te Kanawa--gorgeous as Donna Elvira--and Eda Moser, who is dramatically intense as Donna Anna, despite some pitch probelms Ruggero Raimondi as a suave Don and Jose Van Dam as a bitter, insidious eLporello are quite fine, as is Teresa Berganza as Zerlina Only the wobbly Kenneth Riegel disappoints as Don Ottavio, but hardly anyone succeeds vocally ni the fiendish arias assigned to him Maazel pulls no pervrese punches He is mostly straighftorward, although at times he takes pains to underline the drama for the camera, which is all to the good From the fierce opening scene you would thnik this was going to be an angry, thuggish Don (I wish it had been), but soon Raimondi lapses into smooth, somewhat bland singing that emphasizes mellifluous tone over character Too bad, sicne everything else is outstanding Sony's sonics are fine, and the orchestra plays ver ywell In sum, this almost great Don Giovanni deserves a lisetn It is among the best on hte market, lacking only a charismatic Don to rise to the very top If you object to Wachter's brutishness on the Giulini set or dislike the gloss of Karajan's conducting on the stary DG set, this one from Maazel may turn inot a first choice",positive,"typos, expand contractions, remove punctuation"
"I well rememebr the original St. Louis Jesuits songs fO the twelve songs on this CD, it seems like half a dozen are the original songs The res tappear to be performances of some unnamed choir and orchestra Needless to say, I am not happy with this uprchase through Amazon",negative,"typos, expand contractions, remove punctuation"
This isc ute but very small Do not thinki t's worth the price I tis very soft Doesn'ts eem to keep kids intrigued,negative,"typos, expand contractions, remove punctuation"
"Ok, so this is not a review for this CD in particular but I feel that it doesnt really matter as how I suspect all of This genlteman's cds probably sound the same I have to listen to ""piano for stress relief"" by thsi guy On repeat, with another Gem of a ""stress relief "" cd at work, on repeat everyday, for 6 hourss traight Yeh Yeh, I can smell it in your hair, Your thinking "" Oh Gee hWiz, that sounds great, I wish my work would let me listen to that everyday no, you dont, what is wrongw ith you Sure this stuff may be relaxing if you listen to it once every decade, but constantly, its almost enough to drive you insane, which is why Ia m here on amazon writing a review, bored (and out) of my mind thanks ofr listening, amazon ah",negative,"typos, expand contractions, remove punctuation"
Thakns,positive,"typos, expand contractions, remove punctuation"
This was one of the best albums of 1978 from beginning to end i never thought it would see the light of day thank you BBR I have just pucrhase (If the price is right) great album please do not leave the fans hanging please release the Purple album i had heard that all the tracks did not make it on the original album please find those and add them to BBR you are a life saver it is such a shame that so much good music will not see the light of day,positive,"typos, expand contractions, remove punctuation"
"The 2nd solo album from BONNIE POINTER is another self-titled album title, which features mostly remakes of Motown oldies, featuring a purple cover with ad rawing of her Ultimately, it is not as rewarding as her excellent 1st solo album released just one year prior to this that ahs a red cover I do not know why the decision wsa to redo more old Motown songs from the 60's , whether it was her decision, producer Jeffrey Bowen or Motown Only 6 songs, with only 1 song being an original new song, EDEP IN MY SOUL, which is excellent It is a ballad much in the vein of the inventive tunes on he r1st album It is what this album should have contained more of - original umsic As for the other 5 songs, I guess sicne HEAVEN MUST HAVE SENT YOU was a big hit, they combed the Motown catalog for more classics to redo It is far too many to have odne Waht should have been a step forward in doing more progressive music like on her 1st album, was instead a fatal error that pretty much ended her solo career This easily could have been an EP, and probably shuold have been only that, not a 2nd full album of remakes Of these  ICAN'T HELP MYSELF , JIMMY MACK, WHEN THE LOVELIGHT STARTS SHINING THROUGH HIS EYES are the best The arrangements are at least new & idfferent than the original versions But really, how could she otp the original versions It is a case ofo verdoing it Even the presecne of SLY STONE and FREDDIE STEWART paying on 2 songs does not add up to much, as well as OLLIE E. BROWN, TRUMAN THOMAS and NATHAN EAST - all top session men I once read that there were more recordings don efor her 2nd album, but they were shelved in place of this Grav eerror This could have advanced Bonnie's career had it been filled with great songs like her s1t And why name it OBNNIE POINTER like the 1st Al lit has done is confuse people So, if you like Bonnie's singing, and she sings great on here, or Motown oldies remade, you will lik ethis Otherwise, get her 1st slo album - i tIS amazing Bonnie ledt Motown after this album, and recorded one more solo album, IF THE PRICE IS RIGH,T in 1984 for the Private I label That is better tahn this album, features all original songs, and even has Ruth & Anita singing background vocals on 2 songs The Pointer Sisters , of course, were now platinum recording artists with a string of iht singles and albums A shame she will not be let back into the group ,but since she left in 1978, that was it for her with her sisters as a group Relaesed in late 1979 on MOTOWN M7-929R1 with the purple cover Songs: I Cannot HELP MYSELF, JIMMYM ACK, WHEN THE LOVELIGHT STARTS SHINING THROUGH HIS EYES, DEEP INSIDE MY SOUL, COME SEE ABOUT ME, NOWHERE TO RUN",negative,"typos, expand contractions, remove punctuation"
"Sometimse you get what you pay for In thisc ase, no mention was made that this was only one of the two-CD set I have loved thisa lbum for years, but if I want all of it, I guess I will have to pay the piper and buy a new set",negative,"typos, expand contractions, remove punctuation"
Some folks are saying they onyl got half the selection I got it all and it was a fnu CD to listen to,positive,"typos, expand contractions, remove punctuation"
There are only 8 songs on the DC I was expecting mcuh more The dsecription must have said this but I missed it I went and bought a Best of Elton John CD that I enjoy and thrwe this on away Chalk it up to learning the hard wa yto read the description closer,negative,"typos, expand contractions, remove punctuation"
"Who on earth thouhgt it a good idea to sell this An incessant whine heard over and over, witha ll the pop of a squishy fart Absolutely horrid and I am  ahuge BB fan",negative,"typos, expand contractions, remove punctuation"
"I am sooooo dispapointed I specifically ordered this C Dbecause as kids we would listen to it all the time I am 59 yearso ld and I still can sing all the songs The original vinyl that I listened to back in the day, has 12 tracks (sonsg) on it This CD I just got olny has 10 They left out the 2 best songs on the album, ""aMp of the World"" and ""If it Fits Your Fancy I bought this CD as a Christmas gift for my sister who is favorite song on the album is ""Map of th eWorld We would sing it together ,it is so clever and funny When I opened the package after I received this order in the mail, I imemdiately checked the back for all the songs No where on the sellers web site did it list the names of the songs on hte CD Iw as so let down when I did not see this two songs Does anyone know where I can buy a CD with all original 12 trakcs (songs It will be a ""Blue Christmas"", blue a sin depressed",negative,"typos, expand contractions, remove punctuation"
"I bought this cd because of the song ""nOe Pair of Hands"" It was said that Elvis recorded this song however it was not Elvis it is Mr. Robinson and his whole CD is just beautiful and he does somewhat sound like Elvis",positive,"typos, expand contractions, remove punctuation"
The titl eand reviews are for classic rock The muisc offered here is classical music A bit of a deprature.... After reading the reviews I was ready to buy Will loko for this elsewhere Jrei,negative,"typos, expand contractions, remove punctuation"
Some godo music from the past that gets only light current radio play (I have not heard the Knack since they burned brightly and faded just as quickly And most o fthese will not get much play 30 years from now so owning this set is an affordable way to get 25 chart-quality songs not heard much today,positive,"typos, expand contractions, remove punctuation"
"This album is absolutely the crown of everything good that the 80's rock bansd aspired to in terms of energy and attitude The first six songs- Shotgun Sally, Nine Lives, Her Monkey, Whip it Out, Long WayF rom Home and Coast to Coast- are top notch high tempo, face-ripping hard rock, dripping raw energy and sleaze despite the ultra polished production The album's one ""eh"" point is next with the custoamry ballad ""Every Sunrise"", a few steps above the typical vomit-inducing dreck of the day like Warrant's ""Heaven"", but still little more than breathing room before picking up again with the funkier mid-tempo ""Evil Angel"" and ""Bad Boys are Back""(great song despite the cringeworthy title), then sprinting to the finish with high speed closer ""Heaven on a Heartbeat Isi t deep Of coruse not, it is 1989 But if you want to push the envelope beyond Poison and Wrarant and the like, without going full-on metal, take a listen to this band....and do not blame me for the speeding ticket",positive,"typos, expand contractions, remove punctuation"
It is nice music but was not like the anointed  Worship Music I hoped it to be,negative,"typos, expand contractions, remove punctuation"
"I listened to the sample of this recording and was struck by how overrwought and melodramatic Ms. Crowe had made her interpretation I eprsonally cannot see this as a song about histrionics but about reflection on love and loss Mr. Cohen illustrates what it is to lose a love later in life after a long relationship, Mr. Buckley's interpretation is of a young man who has lost the love of his life and will never love that way agian Both of these recordings are looking back from a place fo acceptance and reflection Ms. Voegele has recorded a version which captures what it feels like to have just lost that olve and the wounds have not had time to scab over Like Job she is not willing to accept that her suffering is just, nor iss he willing to ""curse God and die",negative,"typos, expand contractions, remove punctuation"
the song taht was bought was not the version of the song i heard on pandora i would like the dancem ix to add to my party library,negative,"typos, expand contractions, remove punctuation"
"This isa  song that I heard as a ""golden oldie"" when I first listened to rock and roll in the early sixties It has a haunting melody, an dI still like it This recording is in stereo, though the fidelity is not all it could have been,e ven at the time Said to have been released in 1959, it is probably rechanneled for stereo from a mono orgiinal Contrayr to a popular myth, ""Sleepwalk"" by Ultravox is NOT a cover of this song T(hat's a joke",positive,"typos, expand contractions, remove punctuation"
